name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London, England, United Kingdom",2024-01-01T00:00:00,8.6,4.8,4.8,77.06,0,0,,0,0,29.5,18.8,244,995.5,92.3,18,0,0,0,,Overcast,cloudy,"D5621,03672099999,03781099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T01:00:00,8.1,4.3,4.6,78.59,0,0,,0,0,26.4,17.4,243,996.2,97,11,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T02:00:00,8.1,4.4,4.5,78.04,0,0,,0,0,27.7,16.6,246,997.2,97,11,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T03:00:00,8.3,4.8,4.6,77.52,0,0,,0,0,27.7,15.9,250,997.8,100,11,0,0,0,,Overcast,cloudy,"F6665,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T04:00:00,8.6,5.1,3.8,71.85,0,0,,0,0,25.3,16.4,261,998.7,84.5,11,0,0,0,,Partially cloudy,partly-cloudy-night,"F6665,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T05:00:00,8.3,4.7,3.5,71.78,0,0,,0,0,27.7,16.8,261,999.7,59.2,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T06:00:00,8,4.2,3.5,73.25,1.59,100,rain,0,0,27.7,17.6,260,1000.3,0,9.5,0,0,0,,Rain,rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T07:00:00,7.5,3.9,3.6,76.33,0,0,,0,0,26.4,14.9,250,1001.7,50.2,8.9,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T08:00:00,7.1,3.7,3.8,79.53,0,0,,0,0,24.2,12.8,246,1002.4,0,8.1,0,0,0,,Clear,clear-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T09:00:00,7,4,3.5,78.42,0,0,,0,0,17.2,10.5,237,1003.6,0,8.3,23,0.1,0,,Clear,clear-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T10:00:00,7.6,4.3,3.6,75.8,0,0,,0,0,20.8,13.2,244,1004.2,0,8.7,46,0.2,0,,Clear,clear-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T11:00:00,8.3,5.5,3.8,73.31,0,0,,0,0,13.9,11.5,234,1004.6,0,8.9,130,0.5,1,,Clear,clear-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T12:00:00,8.8,6.1,4.1,72.39,0,0,,0,0,18.3,11.5,238,1004.6,5,9.3,155,0.6,2,,Clear,clear-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T13:00:00,8.6,6.3,3.7,70.85,0,0,,0,0,15,9.1,223,1004.2,40.4,10.1,56,0.2,1,,Partially cloudy,partly-cloudy-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T14:00:00,9.1,7,4.4,71.95,0,0,,0,0,11.4,8.8,211,1003.3,65.7,9.5,56,0.2,1,,Partially cloudy,partly-cloudy-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T15:00:00,9.1,7.3,4.9,74.5,0,0,,0,0,10.3,7.3,188,1002.8,65.7,8.5,14,0.1,0,,Partially cloudy,partly-cloudy-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T16:00:00,9,6.8,5.7,79.32,0,0,,0,0,16.1,9.1,176,1002.3,93.1,7.4,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T17:00:00,8.6,6.4,6.7,87.3,0.001,100,rain,0,0,16.1,8.7,156,1000.3,93.1,5.2,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T18:00:00,9,6.4,7.8,92.23,0.008,100,rain,0,0,20.8,11.1,169,998.8,100,3.7,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T19:00:00,9.3,6.5,8.1,92.22,0.002,100,rain,0,0,23,12.6,173,996.9,100,3.6,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T20:00:00,9.5,6.6,8.3,92.23,0.004,100,rain,0,0,25.3,14,180,994.9,100,4.4,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T21:00:00,9.6,6.8,8.6,93.5,0.023,100,rain,0,0,27.7,13.6,177,992.7,100,3.9,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T22:00:00,10.1,10.1,9.3,94.78,0.004,100,rain,0,0,23,13.3,192,990.9,97,5.7,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-01T23:00:00,11.1,11.1,10.1,93.57,0.004,100,rain,0,0,33.3,15.9,203,989.4,100,2.7,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T00:00:00,11.2,11.2,10.5,96.08,0.019,100,rain,0,0,27.7,16.7,213,988.4,100,4.8,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T01:00:00,12.1,12.1,11.1,93.62,0,0,,0,0,24.2,15.7,237,988.7,100,4.5,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T02:00:00,12.3,12.3,10.6,89.39,0,0,,0,0,28.9,15.9,247,989.2,97,15.9,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T03:00:00,12,12,9.6,85.25,0,0,,0,0,24.2,17,251,990.2,84.8,13,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T04:00:00,11.6,11.6,8.8,82.97,0,0,,0,0,20.8,11.5,237,990.7,97,11,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T05:00:00,11.5,11.5,8.9,83.53,0,0,,0,0,16.1,10.6,224,990.4,78.7,9.3,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T06:00:00,11.8,11.8,8.9,81.9,7.95,100,rain,0,0,16.1,10.6,221,990.3,80.9,6,0,0,0,,"Rain, Partially cloudy",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T07:00:00,11.6,11.6,9.4,85.81,0,0,,0,0,19.7,9.9,214,990.1,93.1,6.6,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T08:00:00,11.1,11.1,9.7,90.51,0,0,,0,0,16.1,7.1,183,988.7,93.1,5,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T09:00:00,11,11,10.1,94.19,0.004,100,rain,0,0,11.4,6.8,162,987.2,93.1,3.1,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T10:00:00,11.1,11.1,10.3,94.82,0.004,100,rain,0,0,23,11.4,159,985.3,96.2,4.1,21,0.1,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
