station,hour,avg_dropoff_count
0,6,1.0
0,9,1.0
0,10,1.6666666666666667
0,11,1.0
0,13,1.2
0,14,1.0
0,16,1.0
0,17,1.4375
0,18,1.3846153846153846
"Abbey Orchard Street, Westminster",0,1.05
"Abbey Orchard Street, Westminster",1,1.2777777777777777
"Abbey Orchard Street, Westminster",2,1.2
"Abbey Orchard Street, Westminster",3,1.4285714285714286
"Abbey Orchard Street, Westminster",4,1.0
"Abbey Orchard Street, Westminster",5,1.0909090909090908
"Abbey Orchard Street, Westminster",6,1.1219512195121952
"Abbey Orchard Street, Westminster",7,2.5436241610738257
"Abbey Orchard Street, Westminster",8,8.63888888888889
"Abbey Orchard Street, Westminster",9,7.708333333333333
"Abbey Orchard Street, Westminster",10,3.25
"Abbey Orchard Street, Westminster",11,2.233128834355828
"Abbey Orchard Street, Westminster",12,2.2962962962962963
"Abbey Orchard Street, Westminster",13,2.5414012738853504
"Abbey Orchard Street, Westminster",14,2.314814814814815
"Abbey Orchard Street, Westminster",15,2.22972972972973
"Abbey Orchard Street, Westminster",16,1.9275362318840579
"Abbey Orchard Street, Westminster",17,1.9305555555555556
"Abbey Orchard Street, Westminster",18,1.9883720930232558
"Abbey Orchard Street, Westminster",19,1.6884057971014492
"Abbey Orchard Street, Westminster",20,1.5876288659793814
"Abbey Orchard Street, Westminster",21,1.3924050632911393
"Abbey Orchard Street, Westminster",22,1.2941176470588236
"Abbey Orchard Street, Westminster",23,1.3666666666666667
"Abbey Orchard Street, Westminster_OLD",0,1.25
"Abbey Orchard Street, Westminster_OLD",1,1.7777777777777777
"Abbey Orchard Street, Westminster_OLD",2,1.0
"Abbey Orchard Street, Westminster_OLD",3,1.0
"Abbey Orchard Street, Westminster_OLD",4,1.0
"Abbey Orchard Street, Westminster_OLD",5,1.0638297872340425
"Abbey Orchard Street, Westminster_OLD",6,1.0952380952380953
"Abbey Orchard Street, Westminster_OLD",7,3.262295081967213
"Abbey Orchard Street, Westminster_OLD",8,8.525641025641026
"Abbey Orchard Street, Westminster_OLD",9,9.052631578947368
"Abbey Orchard Street, Westminster_OLD",10,3.7125
"Abbey Orchard Street, Westminster_OLD",11,3.138888888888889
"Abbey Orchard Street, Westminster_OLD",12,2.63768115942029
"Abbey Orchard Street, Westminster_OLD",13,3.436619718309859
"Abbey Orchard Street, Westminster_OLD",14,2.6619718309859155
"Abbey Orchard Street, Westminster_OLD",15,2.927536231884058
"Abbey Orchard Street, Westminster_OLD",16,2.36231884057971
"Abbey Orchard Street, Westminster_OLD",17,2.189189189189189
"Abbey Orchard Street, Westminster_OLD",18,2.533333333333333
"Abbey Orchard Street, Westminster_OLD",19,1.8709677419354838
"Abbey Orchard Street, Westminster_OLD",20,1.5272727272727273
"Abbey Orchard Street, Westminster_OLD",21,1.8181818181818181
"Abbey Orchard Street, Westminster_OLD",22,1.5135135135135136
"Abbey Orchard Street, Westminster_OLD",23,1.2666666666666666
"Abbotsbury Road, Holland Park",0,1.0769230769230769
"Abbotsbury Road, Holland Park",1,1.2307692307692308
"Abbotsbury Road, Holland Park",2,1.2727272727272727
"Abbotsbury Road, Holland Park",3,1.0
"Abbotsbury Road, Holland Park",4,1.0
"Abbotsbury Road, Holland Park",5,1.25
"Abbotsbury Road, Holland Park",6,1.0
"Abbotsbury Road, Holland Park",7,1.0952380952380953
"Abbotsbury Road, Holland Park",8,1.2741935483870968
"Abbotsbury Road, Holland Park",9,1.231578947368421
"Abbotsbury Road, Holland Park",10,1.3284671532846715
"Abbotsbury Road, Holland Park",11,1.4333333333333333
"Abbotsbury Road, Holland Park",12,1.5701754385964912
"Abbotsbury Road, Holland Park",13,1.7719298245614035
"Abbotsbury Road, Holland Park",14,1.6220472440944882
"Abbotsbury Road, Holland Park",15,1.8032786885245902
"Abbotsbury Road, Holland Park",16,1.6418918918918919
"Abbotsbury Road, Holland Park",17,1.5972222222222223
"Abbotsbury Road, Holland Park",18,1.6103896103896105
"Abbotsbury Road, Holland Park",19,1.7666666666666666
"Abbotsbury Road, Holland Park",20,1.4795918367346939
"Abbotsbury Road, Holland Park",21,1.435897435897436
"Abbotsbury Road, Holland Park",22,1.2647058823529411
"Abbotsbury Road, Holland Park",23,1.127659574468085
"Aberdeen Place, St. John's Wood",0,1.148936170212766
"Aberdeen Place, St. John's Wood",1,1.2647058823529411
"Aberdeen Place, St. John's Wood",2,1.2105263157894737
"Aberdeen Place, St. John's Wood",3,1.1333333333333333
"Aberdeen Place, St. John's Wood",4,1.0
"Aberdeen Place, St. John's Wood",5,1.1428571428571428
"Aberdeen Place, St. John's Wood",6,1.0
"Aberdeen Place, St. John's Wood",7,1.1132075471698113
"Aberdeen Place, St. John's Wood",8,1.2
"Aberdeen Place, St. John's Wood",9,1.2542372881355932
"Aberdeen Place, St. John's Wood",10,1.453125
"Aberdeen Place, St. John's Wood",11,1.6453900709219857
"Aberdeen Place, St. John's Wood",12,1.7630057803468209
"Aberdeen Place, St. John's Wood",13,1.7258064516129032
"Aberdeen Place, St. John's Wood",14,1.5649717514124293
"Aberdeen Place, St. John's Wood",15,1.7486631016042782
"Aberdeen Place, St. John's Wood",16,1.9187817258883249
"Aberdeen Place, St. John's Wood",17,2.164705882352941
"Aberdeen Place, St. John's Wood",18,2.7781818181818183
"Aberdeen Place, St. John's Wood",19,2.3224489795918366
"Aberdeen Place, St. John's Wood",20,1.8526785714285714
"Aberdeen Place, St. John's Wood",21,1.8547486033519553
"Aberdeen Place, St. John's Wood",22,1.5524475524475525
"Aberdeen Place, St. John's Wood",23,1.3894736842105264
"Aberfeldy Street, Poplar",0,1.3225806451612903
"Aberfeldy Street, Poplar",1,1.1875
"Aberfeldy Street, Poplar",2,1.1111111111111112
"Aberfeldy Street, Poplar",3,1.8
"Aberfeldy Street, Poplar",4,1.0
