station,hour,dropoff_count
"Abbey Orchard Street, Westminster",0,1.0
"Abbey Orchard Street, Westminster",1,1.1666666666666667
"Abbey Orchard Street, Westminster",2,1.25
"Abbey Orchard Street, Westminster",3,1.3333333333333333
"Abbey Orchard Street, Westminster",4,1.0
"Abbey Orchard Street, Westminster",5,1.0818181818181818
"Abbey Orchard Street, Westminster",6,1.0833333333333333
"Abbey Orchard Street, Westminster",7,2.631205673758865
"Abbey Orchard Street, Westminster",8,9.106508875739644
"Abbey Orchard Street, Westminster",9,8.52662721893491
"Abbey Orchard Street, Westminster",10,3.607361963190184
"Abbey Orchard Street, Westminster",11,2.2796610169491527
"Abbey Orchard Street, Westminster",12,2.3008130081300813
"Abbey Orchard Street, Westminster",13,2.3947368421052633
"Abbey Orchard Street, Westminster",14,2.25
"Abbey Orchard Street, Westminster",15,1.7452830188679245
"Abbey Orchard Street, Westminster",16,1.79
"Abbey Orchard Street, Westminster",17,1.871559633027523
"Abbey Orchard Street, Westminster",18,2.050724637681159
"Abbey Orchard Street, Westminster",19,1.6486486486486487
"Abbey Orchard Street, Westminster",20,1.5945945945945945
"Abbey Orchard Street, Westminster",21,1.4090909090909092
"Abbey Orchard Street, Westminster",22,1.2894736842105263
"Abbey Orchard Street, Westminster",23,1.3076923076923077
"Abbey Orchard Street, Westminster_OLD",0,1.1428571428571428
"Abbey Orchard Street, Westminster_OLD",1,1.5
"Abbey Orchard Street, Westminster_OLD",2,1.0
"Abbey Orchard Street, Westminster_OLD",3,1.0
"Abbey Orchard Street, Westminster_OLD",4,1.0
"Abbey Orchard Street, Westminster_OLD",5,1.0909090909090908
"Abbey Orchard Street, Westminster_OLD",6,1.1
"Abbey Orchard Street, Westminster_OLD",7,3.3793103448275863
"Abbey Orchard Street, Westminster_OLD",8,9.830769230769231
"Abbey Orchard Street, Westminster_OLD",9,10.428571428571429
"Abbey Orchard Street, Westminster_OLD",10,4.1525423728813555
"Abbey Orchard Street, Westminster_OLD",11,3.36
"Abbey Orchard Street, Westminster_OLD",12,2.56
"Abbey Orchard Street, Westminster_OLD",13,3.2448979591836733
"Abbey Orchard Street, Westminster_OLD",14,2.54
"Abbey Orchard Street, Westminster_OLD",15,2.8043478260869565
"Abbey Orchard Street, Westminster_OLD",16,2.130434782608696
"Abbey Orchard Street, Westminster_OLD",17,2.0
"Abbey Orchard Street, Westminster_OLD",18,2.574074074074074
"Abbey Orchard Street, Westminster_OLD",19,1.7826086956521738
"Abbey Orchard Street, Westminster_OLD",20,1.5609756097560976
"Abbey Orchard Street, Westminster_OLD",21,1.78125
