station,hour,dropoff_count
"Abbey Orchard Street, Westminster",0,1.125
"Abbey Orchard Street, Westminster",1,1.3333333333333333
"Abbey Orchard Street, Westminster",2,1.125
"Abbey Orchard Street, Westminster",3,1.5
"Abbey Orchard Street, Westminster",4,1.0
"Abbey Orchard Street, Westminster",5,1.121212121212121
"Abbey Orchard Street, Westminster",6,1.4
"Abbey Orchard Street, Westminster",7,1.0
"Abbey Orchard Street, Westminster",8,1.4545454545454546
"Abbey Orchard Street, Westminster",9,1.6956521739130435
"Abbey Orchard Street, Westminster",10,1.829268292682927
"Abbey Orchard Street, Westminster",11,2.111111111111111
"Abbey Orchard Street, Westminster",12,2.282051282051282
"Abbey Orchard Street, Westminster",13,2.9302325581395348
"Abbey Orchard Street, Westminster",14,2.5
"Abbey Orchard Street, Westminster",15,3.4523809523809526
"Abbey Orchard Street, Westminster",16,2.289473684210526
"Abbey Orchard Street, Westminster",17,2.1142857142857143
"Abbey Orchard Street, Westminster",18,1.7352941176470589
"Abbey Orchard Street, Westminster",19,1.8518518518518519
"Abbey Orchard Street, Westminster",20,1.565217391304348
"Abbey Orchard Street, Westminster",21,1.3076923076923077
"Abbey Orchard Street, Westminster",22,1.3076923076923077
"Abbey Orchard Street, Westminster",23,1.75
"Abbey Orchard Street, Westminster_OLD",0,1.4
"Abbey Orchard Street, Westminster_OLD",1,1.8571428571428572
"Abbey Orchard Street, Westminster_OLD",2,1.0
"Abbey Orchard Street, Westminster_OLD",3,1.0
"Abbey Orchard Street, Westminster_OLD",4,1.0
"Abbey Orchard Street, Westminster_OLD",5,1.0
"Abbey Orchard Street, Westminster_OLD",6,1.0
"Abbey Orchard Street, Westminster_OLD",7,1.0
"Abbey Orchard Street, Westminster_OLD",8,2.0
"Abbey Orchard Street, Westminster_OLD",9,2.3846153846153846
"Abbey Orchard Street, Westminster_OLD",10,2.4761904761904763
"Abbey Orchard Street, Westminster_OLD",11,2.6363636363636362
"Abbey Orchard Street, Westminster_OLD",12,2.8421052631578947
"Abbey Orchard Street, Westminster_OLD",13,3.8636363636363638
"Abbey Orchard Street, Westminster_OLD",14,2.9523809523809526
"Abbey Orchard Street, Westminster_OLD",15,3.1739130434782608
"Abbey Orchard Street, Westminster_OLD",16,2.8260869565217392
"Abbey Orchard Street, Westminster_OLD",17,2.7
"Abbey Orchard Street, Westminster_OLD",18,2.4285714285714284
"Abbey Orchard Street, Westminster_OLD",19,2.125
"Abbey Orchard Street, Westminster_OLD",20,1.4285714285714286
"Abbey Orchard Street, Westminster_OLD",21,1.9166666666666667
"Abbey Orchard Street, Westminster_OLD",22,1.8333333333333333
"Abbey Orchard Street, Westminster_OLD",23,1.3333333333333333
"Abbotsbury Road, Holland Park",0,1.0
"Abbotsbury Road, Holland Park",1,1.3333333333333333
"Abbotsbury Road, Holland Park",2,1.0
"Abbotsbury Road, Holland Park",3,1.0
"Abbotsbury Road, Holland Park",4,1.0
"Abbotsbury Road, Holland Park",5,2.0
"Abbotsbury Road, Holland Park",6,1.0
"Abbotsbury Road, Holland Park",7,1.0
"Abbotsbury Road, Holland Park",8,1.0769230769230769
"Abbotsbury Road, Holland Park",9,1.6
"Abbotsbury Road, Holland Park",10,1.5116279069767442
"Abbotsbury Road, Holland Park",11,1.5833333333333333
"Abbotsbury Road, Holland Park",12,1.775
"Abbotsbury Road, Holland Park",13,2.341463414634146
"Abbotsbury Road, Holland Park",14,1.6944444444444444
"Abbotsbury Road, Holland Park",15,1.925
"Abbotsbury Road, Holland Park",16,2.0425531914893615
"Abbotsbury Road, Holland Park",17,1.6666666666666667
"Abbotsbury Road, Holland Park",18,1.619047619047619
"Abbotsbury Road, Holland Park",19,2.0833333333333335
"Abbotsbury Road, Holland Park",20,1.52
"Abbotsbury Road, Holland Park",21,1.5
"Abbotsbury Road, Holland Park",22,1.2857142857142858
"Abbotsbury Road, Holland Park",23,1.1428571428571428
"Aberdeen Place, St. John's Wood",0,1.2352941176470589
"Aberdeen Place, St. John's Wood",1,1.0714285714285714
"Aberdeen Place, St. John's Wood",2,1.1666666666666667
"Aberdeen Place, St. John's Wood",3,1.0769230769230769
"Aberdeen Place, St. John's Wood",4,1.0
"Aberdeen Place, St. John's Wood",5,1.25
"Aberdeen Place, St. John's Wood",6,1.0
"Aberdeen Place, St. John's Wood",7,1.0
"Aberdeen Place, St. John's Wood",8,1.0909090909090908
"Aberdeen Place, St. John's Wood",9,1.1666666666666667
"Aberdeen Place, St. John's Wood",10,1.8333333333333333
"Aberdeen Place, St. John's Wood",11,2.176470588235294
"Aberdeen Place, St. John's Wood",12,2.1384615384615384
"Aberdeen Place, St. John's Wood",13,2.0491803278688523
"Aberdeen Place, St. John's Wood",14,1.9411764705882353
"Aberdeen Place, St. John's Wood",15,2.015873015873016
"Aberdeen Place, St. John's Wood",16,2.3492063492063493
"Aberdeen Place, St. John's Wood",17,2.19672131147541
"Aberdeen Place, St. John's Wood",18,1.8035714285714286
"Aberdeen Place, St. John's Wood",19,1.9534883720930232
"Aberdeen Place, St. John's Wood",20,1.6590909090909092
"Aberdeen Place, St. John's Wood",21,1.564102564102564
"Aberdeen Place, St. John's Wood",22,1.303030303030303
"Aberdeen Place, St. John's Wood",23,1.4545454545454546
"Aberfeldy Street, Poplar",0,1.3333333333333333
"Aberfeldy Street, Poplar",1,1.0
"Aberfeldy Street, Poplar",2,1.0
"Aberfeldy Street, Poplar",3,1.0
"Aberfeldy Street, Poplar",4,1.0
"Aberfeldy Street, Poplar",5,1.0
"Aberfeldy Street, Poplar",6,1.0
"Aberfeldy Street, Poplar",7,1.1111111111111112
"Aberfeldy Street, Poplar",8,1.1333333333333333
"Aberfeldy Street, Poplar",9,1.2352941176470589
"Aberfeldy Street, Poplar",10,1.25
"Aberfeldy Street, Poplar",11,1.2903225806451613
"Aberfeldy Street, Poplar",12,1.28125
