station,hour,pickup_count
"Abbey Orchard Street, Westminster",0,1.25
"Abbey Orchard Street, Westminster",1,1.0
"Abbey Orchard Street, Westminster",2,1.0
"Abbey Orchard Street, Westminster",3,1.0
"Abbey Orchard Street, Westminster",4,1.0
"Abbey Orchard Street, Westminster",5,1.1666666666666667
"Abbey Orchard Street, Westminster",6,1.2181818181818183
"Abbey Orchard Street, Westminster",7,1.3592233009708738
"Abbey Orchard Street, Westminster",8,1.596638655462185
"Abbey Orchard Street, Westminster",9,1.8639455782312926
"Abbey Orchard Street, Westminster",10,1.4842105263157894
"Abbey Orchard Street, Westminster",11,1.712962962962963
"Abbey Orchard Street, Westminster",12,1.972972972972973
"Abbey Orchard Street, Westminster",13,1.8409090909090908
"Abbey Orchard Street, Westminster",14,1.9037037037037037
"Abbey Orchard Street, Westminster",15,2.2797619047619047
"Abbey Orchard Street, Westminster",16,3.5526315789473686
"Abbey Orchard Street, Westminster",17,7.944444444444445
"Abbey Orchard Street, Westminster",18,5.178378378378379
"Abbey Orchard Street, Westminster",19,2.65625
"Abbey Orchard Street, Westminster",20,2.089430894308943
"Abbey Orchard Street, Westminster",21,1.6987951807228916
"Abbey Orchard Street, Westminster",22,1.5890410958904109
"Abbey Orchard Street, Westminster",23,1.3962264150943395
"Abbey Orchard Street, Westminster_OLD",0,1.25
"Abbey Orchard Street, Westminster_OLD",1,1.0
"Abbey Orchard Street, Westminster_OLD",2,1.0
"Abbey Orchard Street, Westminster_OLD",4,1.0
"Abbey Orchard Street, Westminster_OLD",5,1.0
"Abbey Orchard Street, Westminster_OLD",6,1.0
"Abbey Orchard Street, Westminster_OLD",7,1.4615384615384615
"Abbey Orchard Street, Westminster_OLD",8,1.836734693877551
"Abbey Orchard Street, Westminster_OLD",9,2.0833333333333335
"Abbey Orchard Street, Westminster_OLD",10,1.5
"Abbey Orchard Street, Westminster_OLD",11,2.0
"Abbey Orchard Street, Westminster_OLD",12,1.8269230769230769
"Abbey Orchard Street, Westminster_OLD",13,2.4655172413793105
"Abbey Orchard Street, Westminster_OLD",14,2.1639344262295084
"Abbey Orchard Street, Westminster_OLD",15,2.5428571428571427
"Abbey Orchard Street, Westminster_OLD",16,5.041666666666667
"Abbey Orchard Street, Westminster_OLD",17,10.67123287671233
"Abbey Orchard Street, Westminster_OLD",18,6.47945205479452
