station,hour,pickup_count
"Abbey Orchard Street, Westminster",0,1.375
"Abbey Orchard Street, Westminster",1,1.0769230769230769
"Abbey Orchard Street, Westminster",2,1.0
"Abbey Orchard Street, Westminster",3,1.0
"Abbey Orchard Street, Westminster",5,1.0
"Abbey Orchard Street, Westminster",6,1.1666666666666667
"Abbey Orchard Street, Westminster",7,1.0
"Abbey Orchard Street, Westminster",8,1.1111111111111112
"Abbey Orchard Street, Westminster",9,1.5263157894736843
"Abbey Orchard Street, Westminster",10,1.8863636363636365
"Abbey Orchard Street, Westminster",11,1.7291666666666667
"Abbey Orchard Street, Westminster",12,1.9615384615384615
"Abbey Orchard Street, Westminster",13,1.9583333333333333
"Abbey Orchard Street, Westminster",14,1.9047619047619047
"Abbey Orchard Street, Westminster",15,1.934782608695652
"Abbey Orchard Street, Westminster",16,2.2954545454545454
"Abbey Orchard Street, Westminster",17,2.0
"Abbey Orchard Street, Westminster",18,1.8666666666666667
"Abbey Orchard Street, Westminster",19,1.6829268292682926
"Abbey Orchard Street, Westminster",20,1.45
"Abbey Orchard Street, Westminster",21,1.5384615384615385
"Abbey Orchard Street, Westminster",22,1.5454545454545454
"Abbey Orchard Street, Westminster",23,1.2941176470588236
"Abbey Orchard Street, Westminster_OLD",0,3.0
"Abbey Orchard Street, Westminster_OLD",2,1.0
"Abbey Orchard Street, Westminster_OLD",3,1.0
"Abbey Orchard Street, Westminster_OLD",4,1.0
"Abbey Orchard Street, Westminster_OLD",5,2.6666666666666665
"Abbey Orchard Street, Westminster_OLD",6,1.0
"Abbey Orchard Street, Westminster_OLD",7,1.1666666666666667
"Abbey Orchard Street, Westminster_OLD",8,2.0
"Abbey Orchard Street, Westminster_OLD",9,1.4761904761904763
"Abbey Orchard Street, Westminster_OLD",10,1.1666666666666667
"Abbey Orchard Street, Westminster_OLD",11,2.652173913043478
"Abbey Orchard Street, Westminster_OLD",12,2.4166666666666665
"Abbey Orchard Street, Westminster_OLD",13,2.391304347826087
"Abbey Orchard Street, Westminster_OLD",14,2.75
"Abbey Orchard Street, Westminster_OLD",15,2.05
"Abbey Orchard Street, Westminster_OLD",16,3.260869565217391
"Abbey Orchard Street, Westminster_OLD",17,2.68
"Abbey Orchard Street, Westminster_OLD",18,2.1666666666666665
"Abbey Orchard Street, Westminster_OLD",19,2.6842105263157894
"Abbey Orchard Street, Westminster_OLD",20,1.875
"Abbey Orchard Street, Westminster_OLD",21,1.7333333333333334
"Abbey Orchard Street, Westminster_OLD",22,2.6666666666666665
"Abbey Orchard Street, Westminster_OLD",23,1.5714285714285714
"Abbotsbury Road, Holland Park",0,1.4444444444444444
"Abbotsbury Road, Holland Park",1,1.8333333333333333
"Abbotsbury Road, Holland Park",2,1.0
"Abbotsbury Road, Holland Park",3,1.3333333333333333
"Abbotsbury Road, Holland Park",4,2.0
"Abbotsbury Road, Holland Park",5,1.5
"Abbotsbury Road, Holland Park",6,1.0
"Abbotsbury Road, Holland Park",7,1.0
"Abbotsbury Road, Holland Park",8,1.1666666666666667
"Abbotsbury Road, Holland Park",9,1.1842105263157894
"Abbotsbury Road, Holland Park",10,1.66
"Abbotsbury Road, Holland Park",11,1.7846153846153847
"Abbotsbury Road, Holland Park",12,1.8846153846153846
"Abbotsbury Road, Holland Park",13,1.9245283018867925
"Abbotsbury Road, Holland Park",14,2.019230769230769
"Abbotsbury Road, Holland Park",15,2.491228070175439
"Abbotsbury Road, Holland Park",16,2.0161290322580645
"Abbotsbury Road, Holland Park",17,1.8431372549019607
"Abbotsbury Road, Holland Park",18,1.6938775510204083
"Abbotsbury Road, Holland Park",19,1.8055555555555556
"Abbotsbury Road, Holland Park",20,1.7428571428571429
"Abbotsbury Road, Holland Park",21,1.6923076923076923
"Abbotsbury Road, Holland Park",22,1.375
"Abbotsbury Road, Holland Park",23,1.263157894736842
"Aberdeen Place, St. John's Wood",0,1.1428571428571428
"Aberdeen Place, St. John's Wood",1,1.125
"Aberdeen Place, St. John's Wood",3,1.0
"Aberdeen Place, St. John's Wood",4,1.0
"Aberdeen Place, St. John's Wood",5,1.0
"Aberdeen Place, St. John's Wood",6,1.0714285714285714
"Aberdeen Place, St. John's Wood",7,1.1
"Aberdeen Place, St. John's Wood",8,1.3191489361702127
"Aberdeen Place, St. John's Wood",9,1.9846153846153847
"Aberdeen Place, St. John's Wood",10,2.1235955056179776
"Aberdeen Place, St. John's Wood",11,2.6436781609195403
"Aberdeen Place, St. John's Wood",12,2.9
"Aberdeen Place, St. John's Wood",13,2.802197802197802
"Aberdeen Place, St. John's Wood",14,2.328767123287671
"Aberdeen Place, St. John's Wood",15,2.74025974025974
"Aberdeen Place, St. John's Wood",16,1.9605263157894737
"Aberdeen Place, St. John's Wood",17,2.1690140845070425
"Aberdeen Place, St. John's Wood",18,1.6290322580645162
"Aberdeen Place, St. John's Wood",19,1.4680851063829787
"Aberdeen Place, St. John's Wood",20,1.5675675675675675
"Aberdeen Place, St. John's Wood",21,1.3333333333333333
"Aberdeen Place, St. John's Wood",22,1.5263157894736843
"Aberdeen Place, St. John's Wood",23,1.0
"Aberfeldy Street, Poplar",0,1.2
"Aberfeldy Street, Poplar",1,1.0
"Aberfeldy Street, Poplar",2,1.2857142857142858
"Aberfeldy Street, Poplar",3,1.0
"Aberfeldy Street, Poplar",4,1.0
"Aberfeldy Street, Poplar",5,1.2105263157894737
"Aberfeldy Street, Poplar",6,1.4166666666666667
"Aberfeldy Street, Poplar",7,1.21875
"Aberfeldy Street, Poplar",8,1.1935483870967742
"Aberfeldy Street, Poplar",9,1.4126984126984128
"Aberfeldy Street, Poplar",10,1.4516129032258065
"Aberfeldy Street, Poplar",11,1.5555555555555556
"Aberfeldy Street, Poplar",12,1.5535714285714286
"Aberfeldy Street, Poplar",13,1.5208333333333333
"Aberfeldy Street, Poplar",14,1.7105263157894737
"Aberfeldy Street, Poplar",15,1.6511627906976745
"Aberfeldy Street, Poplar",16,1.4761904761904763
"Aberfeldy Street, Poplar",17,1.3695652173913044
"Aberfeldy Street, Poplar",18,1.28
"Aberfeldy Street, Poplar",19,1.391304347826087
"Aberfeldy Street, Poplar",20,1.4090909090909092
"Aberfeldy Street, Poplar",21,1.1578947368421053
"Aberfeldy Street, Poplar",22,1.0769230769230769
"Aberfeldy Street, Poplar",23,1.75
"Abingdon Green, Westminster",0,1.75
"Abingdon Green, Westminster",1,1.2666666666666666
"Abingdon Green, Westminster",2,1.3333333333333333
"Abingdon Green, Westminster",3,1.1538461538461537
"Abingdon Green, Westminster",4,1.2857142857142858
"Abingdon Green, Westminster",5,1.0
"Abingdon Green, Westminster",6,1.0
"Abingdon Green, Westminster",7,1.6363636363636365
"Abingdon Green, Westminster",8,1.3235294117647058
"Abingdon Green, Westminster",9,1.8070175438596492
"Abingdon Green, Westminster",10,1.9285714285714286
"Abingdon Green, Westminster",11,2.4305555555555554
"Abingdon Green, Westminster",12,3.3258426966292136
"Abingdon Green, Westminster",13,3.0
"Abingdon Green, Westminster",14,3.458823529411765
"Abingdon Green, Westminster",15,3.978021978021978
"Abingdon Green, Westminster",16,3.4065934065934065
"Abingdon Green, Westminster",17,3.5
"Abingdon Green, Westminster",18,3.2205882352941178
"Abingdon Green, Westminster",19,2.517857142857143
"Abingdon Green, Westminster",20,2.230769230769231
"Abingdon Green, Westminster",21,1.8
"Abingdon Green, Westminster",22,1.9
"Abingdon Green, Westminster",23,1.375
"Abingdon Villas, Kensington",0,1.5
"Abingdon Villas, Kensington",1,1.1
"Abingdon Villas, Kensington",2,1.1
"Abingdon Villas, Kensington",3,1.0
"Abingdon Villas, Kensington",4,1.0
"Abingdon Villas, Kensington",6,1.0
"Abingdon Villas, Kensington",7,1.1363636363636365
"Abingdon Villas, Kensington",8,1.4772727272727273
"Abingdon Villas, Kensington",9,1.4929577464788732
"Abingdon Villas, Kensington",10,1.9482758620689655
"Abingdon Villas, Kensington",11,1.9722222222222223
"Abingdon Villas, Kensington",12,2.0
"Abingdon Villas, Kensington",13,1.96
"Abingdon Villas, Kensington",14,1.9473684210526316
"Abingdon Villas, Kensington",15,1.8611111111111112
"Abingdon Villas, Kensington",16,2.090909090909091
"Abingdon Villas, Kensington",17,1.6111111111111112
