station,latitude,longitude
"Abbey Orchard Street, Westminster",51.4983299,-0.1314542
"Abbey Orchard Street, Westminster_OLD",51.4983299,-0.1314542
"Abbotsbury Road, Holland Park",51.5020417,-0.20652
"Aberdeen Place, St. John's Wood",51.5254041,-0.1753114
"Aberfeldy Street, Poplar",51.5139444,-0.005761
"Abingdon Green, Westminster",51.49764,-0.125972
"Abingdon Villas, Kensington",51.4979457,-0.1948575
"Ackroyd Drive, Bow",51.5194899,-0.0282687
"Ada Street, Hackney Central",51.5357937,-0.0610596
"Addison Road, Holland Park",51.5013875,-0.2084082
"Aintree Street, Fulham",51.4805892,-0.2109815
"Albany Street, The Regent's Park",51.5298453,-0.1444671
"Albert Bridge Road, Battersea Park",51.4778591,-0.1647522
"Albert Embankment, Vauxhall",51.489512,-0.1229158
"Albert Embankment, Vauxhall_OLD",51.489512,-0.1229158
"Albert Gardens, Stepney",51.5128646,-0.0468479
"Albert Gate, Hyde Park",51.502953,-0.158456
"Albert Square, Stockwell",51.477001,-0.1192634
"Albert Street, Camden Town",51.5374624,-0.1444678
"Alderney Street, Pimlico",51.4894849,-0.1436371
"Aldersgate Street, Barbican",51.519459,-0.0971619
"Alfreda Street, Battersea Park",51.47534169999999,-0.1510821
"All Saints Church, Portobello",51.5153904,-0.2046795
"All Saints' Road, Portobello",51.5170002,-0.205847
"Allington Street, Victoria",51.4973927,-0.142789
"Alma Road, Wandsworth",51.4592388,-0.1859361
"Alpha Grove, Millwall",51.4996041,-0.0229785
"Ampton Street , Clerkenwell",51.5275027,-0.1172898
"Ansell House, Stepney",51.5196449,-0.0549881
"Antill Road, Mile End",51.5292916,-0.0342322
"Archbishop's Park, Waterloo",51.4971562,-0.1168206
"Argyle Street, Kings Cross",51.5290418,-0.1235722
"Argyll Road, Kensington",51.5011949,-0.1962523
"Arlington Road, Camden Town",51.5386499,-0.1440564
"Arundel Street, Temple",51.5126929,-0.1144468
"Ashley Crescent, Battersea",51.4665749,-0.1518902
"Ashley Place, Victoria",51.4961894,-0.1409283
"Ashmole Estate, Oval",51.4811206,-0.1162002
"Aston Street, Stepney",51.5161734,-0.0386279
"Austin Road, Battersea Park",51.4743769,-0.155759
"Aylward Street, Stepney",51.5155788,-0.0495675
"BBC White City, White City",51.5141492,-0.2271227
"Baker Street, Marylebone",51.5205631,-0.1568041
"Baldwin Street, St. Luke's",51.5269146,-0.0889504
"Bancroft Road, Bethnal Green",51.5249005,-0.0439324
"Bank of England Museum, Bank",51.514166,-0.087613
"Bankside Mix, Bankside",51.5081352,-0.095185
"Barbican Centre, Barbican",51.5202077,-0.09378639999999999
"Barons Court Station, West Kensington",51.4903021,-0.2134873
"Bath Street, St. Lke's",51.5267939,-0.0911532
"Bath Street, St. Luke's",51.5267939,-0.0911532
"Battersea Church Road, Battersea",51.4774575,-0.1738997
"Battersea Park Road, Nine Elms",51.4788385,-0.1435522
"Battersea Power Station, Battersea Park",51.4791075,-0.1564981
"Bayley Street , Bloomsbury",51.5187572,-0.131684
"Baylis Road, Waterloo",51.5005001,-0.1109636
"Bayswater Road, Hyde Park",51.5073638,-0.1641135
"Beaumont Street, Marylebone",51.5212312,-0.1507246
"Bedford Way, Bloomsbury",51.5233386,-0.1278897
"Belford House, Haggerston",51.5367962,-0.0705328
"Belgrave Road, Victoria",51.4920405,-0.1417145
"Belgrave Square, Belgravia",51.498664,-0.1526797
"Bell Lane, Liverpool Street",51.5174665,-0.0826359
"Bell Street , Marylebone",51.5212386,-0.1683953
"Belvedere Road 1, South Bank",51.5014027,-0.1184721
"Belvedere Road 2, South Bank",51.5011062,-0.1183857
"Bermondsey Station, Bermondsey",51.49811219999999,-0.06446969999999999
"Bermondsey Street, Bermondsey",51.4998433,-0.0814474
"Berry Street, Clerkenwell",51.5234505,-0.1003176
"Beryl Road, Hammersmith",51.488661,-0.2208642
"Bethnal Green Garden, Bethnal Green",51.5261442,-0.0546802
"Bethnal Green Road, Shoreditch",51.5239139,-0.0739635
"Bevington Road West, North Kensington",51.5208286,-0.2076577
"Binfield Road, Stockwell",51.473265,-0.1243758
"Birkenhead Street, King's Cross",51.5297641,-0.1217653
"Bishop's Avenue, Fulham",51.4727086,-0.2152671
"Bishop's Bridge Road East, Bayswater",51.5160994,-0.1874664
"Bishop's Bridge Road West, Bayswater",51.5160994,-0.1874664
"Black Lion Gate, Kensington Gardens",51.5088419,-0.1877992
"Black Prince Road, Vauxhall",51.4907149,-0.1163667
"Blackfriars Road, Southwark",51.5034706,-0.1045216
"Blackfriars Station, St. Paul's",51.5115579,-0.1034314
"Blenheim Crescent, Ladbroke Grove",51.5151394,-0.2083458
"Blythe Road West, Shepherd's Bush",51.4975275,-0.2167559
"Blythe Road, Olympia",51.4963566,-0.2107637
"Bolsover Street, Fitzrovia",51.5219731,-0.1428108
"Bonner Gate, Victoria Park",51.5333446,-0.0492999
"Bonny Street, Camden Town",51.5417396,-0.1395327
"Borough High Street, The Borough",51.5033872,-0.0916469
"Borough Road, Elephant & Castle",51.4990018,-0.1005769
"Boston Place, Marylebone",51.524019,-0.1629518
"Bourne Street, Belgravia",51.4919064,-0.1546587
"Bouverie Street, Temple",51.5133749,-0.107946
