station,total_pickup,total_dropoff,net_flow,latitude,longitude
"Abbey Orchard Street, Westminster",7512.0,7692,-180.0,51.4983299,-0.1314542
"Abbey Orchard Street, Westminster_OLD",3856.0,3878,-22.0,51.4983299,-0.1314542
"Abbotsbury Road, Holland Park",4116.0,2932,1184.0,51.5020417,-0.20652
"Aberdeen Place, St. John's Wood",8064.0,5505,2559.0,51.5254041,-0.1753114
"Aberfeldy Street, Poplar",3718.0,3061,657.0,51.5139444,-0.005761
"Abingdon Green, Westminster",12623.0,12157,466.0,51.49764,-0.125972
"Abingdon Villas, Kensington",7101.0,5876,1225.0,51.4979457,-0.1948575
"Ackroyd Drive, Bow",14478.0,10837,3641.0,51.5194899,-0.0282687
"Ada Street, Hackney Central",10267.0,8809,1458.0,51.5357937,-0.0610596
"Addison Road, Holland Park",5561.0,4610,951.0,51.5013875,-0.2084082
"Aintree Street, Fulham",11080.0,8039,3041.0,51.4805892,-0.2109815
"Albany Street, The Regent's Park",12919.0,8499,4420.0,51.5298453,-0.1444671
"Albert Bridge Road, Battersea Park",12901.0,10205,2696.0,51.4778591,-0.1647522
"Albert Embankment, Vauxhall",6316.0,4632,1684.0,51.489512,-0.1229158
"Albert Embankment, Vauxhall_OLD",2328.0,2204,124.0,51.489512,-0.1229158
"Albert Gardens, Stepney",10443.0,7716,2727.0,51.5128646,-0.0468479
"Albert Gate, Hyde Park",42209.0,31779,10430.0,51.502953,-0.158456
"Albert Square, Stockwell",12076.0,9282,2794.0,51.477001,-0.1192634
"Albert Street, Camden Town",664.0,673,-9.0,51.5374624,-0.1444678
"Alderney Street, Pimlico",15418.0,11678,3740.0,51.4894849,-0.1436371
"Aldersgate Street, Barbican",21205.0,17668,3537.0,51.519459,-0.0971619
"Alfreda Street, Battersea Park",9961.0,7859,2102.0,51.47534169999999,-0.1510821
"All Saints Church, Portobello",15306.0,12374,2932.0,51.5153904,-0.2046795
"All Saints' Road, Portobello",6415.0,4927,1488.0,51.5170002,-0.205847
"Allington Street, Victoria",26340.0,21594,4746.0,51.4973927,-0.142789
"Alma Road, Wandsworth",3965.0,2333,1632.0,51.4592388,-0.1859361
"Alpha Grove, Millwall",4546.0,3886,660.0,51.4996041,-0.0229785
"Ampton Street , Clerkenwell",8894.0,6932,1962.0,51.5275027,-0.1172898
"Ansell House, Stepney",13045.0,10526,2519.0,51.5196449,-0.0549881
"Antill Road, Mile End",8285.0,5879,2406.0,51.5292916,-0.0342322
"Archbishop's Park, Waterloo",7243.0,6265,978.0,51.4971562,-0.1168206
"Argyle Street, Kings Cross",39519.0,32246,7273.0,51.5290418,-0.1235722
"Argyll Road, Kensington",7184.0,5985,1199.0,51.5011949,-0.1962523
"Arlington Road, Camden Town",7615.0,6182,1433.0,51.5386499,-0.1440564
"Arundel Street, Temple",7659.0,6761,898.0,51.5126929,-0.1144468
"Ashley Crescent, Battersea",11769.0,9398,2371.0,51.4665749,-0.1518902
"Ashley Place, Victoria",11736.0,10568,1168.0,51.4961894,-0.1409283
