station,type
"Abbey Orchard Street, Westminster",weekday
"Abbey Orchard Street, Westminster_OLD",weekday
"Abbotsbury Road, Holland Park",weekend
"Aberdeen Place, St. John's Wood",weekend
"Aberfeldy Street, Poplar",weekend
"Abingdon Green, Westminster",weekday
"Abingdon Villas, Kensington",weekday
"Ackroyd Drive, Bow",weekday
"Ada Street, Hackney Central",weekend
"Addison Road, Holland Park",weekday
"Aintree Street, Fulham",weekday
"Albany Street, The Regent's Park",weekend
"Albert Bridge Road, Battersea Park",weekday
"Albert Embankment, Vauxhall",weekday
"Albert Embankment, Vauxhall_OLD",weekday
"Albert Gardens, Stepney",weekend
"Albert Gate, Hyde Park",weekend
"Albert Square, Stockwell",weekday
"Albert Street, Camden Town",weekend
"Alderney Street, Pimlico",weekend
"Aldersgate Street, Barbican",weekday
"Alfreda Street, Battersea Park",weekend
"All Saints Church, Portobello",weekend
"All Saints' Road, Portobello",weekend
"Allington Street, Victoria",weekday
"Alma Road, Wandsworth",weekday
"Alpha Grove, Millwall",weekend
"Ampton Street , Clerkenwell",weekday
"Ansell House, Stepney",weekend
"Antill Road, Mile End",weekend
"Archbishop's Park, Waterloo",weekday
"Argyle Street, Kings Cross",weekday
"Argyll Road, Kensington",weekend
"Arlington Road, Camden Town",weekend
"Arundel Street, Temple",weekday
"Ashley Crescent, Battersea",weekday
"Ashley Place, Victoria",weekday
"Ashmole Estate, Oval",weekday
"Aston Street, Stepney",weekday
"Austin Road, Battersea Park",weekday
"Aylward Street, Stepney",weekday
"BBC White City, White City",weekday
"Baker Street, Marylebone",weekday
"Baldwin Street, St. Luke's",weekday
"Bancroft Road, Bethnal Green",weekday
"Bank of England Museum, Bank",weekday
"Bankside Mix, Bankside",weekday
"Barbican Centre, Barbican",weekday
"Barons Court Station, West Kensington",weekday
"Bath Street, St. Lke's",weekday
"Bath Street, St. Luke's",weekday
"Battersea Church Road, Battersea",weekday
"Battersea Park Road, Nine Elms",weekend
"Battersea Power Station, Battersea Park",weekend
"Bayley Street , Bloomsbury",weekday
"Baylis Road, Waterloo",weekday
"Bayswater Road, Hyde Park",weekend
"Beaumont Street, Marylebone",weekday
"Bedford Way, Bloomsbury",weekday
"Belford House, Haggerston",weekend
"Belgrave Road, Victoria",weekday
"Belgrave Square, Belgravia",weekday
"Bell Lane, Liverpool Street",weekday
"Bell Street , Marylebone",weekday
"Belvedere Road 1, South Bank",weekday
"Belvedere Road 2, South Bank",weekday
"Bermondsey Station, Bermondsey",weekend
"Bermondsey Street, Bermondsey",weekday
"Berry Street, Clerkenwell",weekday
"Beryl Road, Hammersmith",weekday
"Bethnal Green Garden, Bethnal Green",weekend
"Bethnal Green Road, Shoreditch",weekday
"Bevington Road West, North Kensington",weekend
"Binfield Road, Stockwell",weekday
"Birkenhead Street, King's Cross",weekday
"Bishop's Avenue, Fulham",weekend
"Bishop's Bridge Road East, Bayswater",weekday
"Bishop's Bridge Road West, Bayswater",weekend
"Black Lion Gate, Kensington Gardens",weekend
"Black Prince Road, Vauxhall",weekday
"Blackfriars Road, Southwark",weekday
"Blackfriars Station, St. Paul's",weekday
"Blenheim Crescent, Ladbroke Grove",weekend
"Blythe Road West, Shepherd's Bush",weekend
"Blythe Road, Olympia",weekday
"Bolsover Street, Fitzrovia",weekday
"Bonner Gate, Victoria Park",weekend
"Bonny Street, Camden Town",weekday
"Borough High Street, The Borough",weekday
"Borough Road, Elephant & Castle",weekday
"Boston Place, Marylebone",weekday
"Bourne Street, Belgravia",weekend
"Bouverie Street, Temple",weekday
"Bow Church Station, Bow",weekend
"Bow Road Station, Bow",weekday
"Braham Street, Aldgate",weekday
"Bramham Gardens, Earl's Court",weekday
"Brandon Street, Walworth",weekday
"Breams Buildings, Holborn",weekday
"Brick Lane Market, Shoreditch",weekend
"Bricklayers Arms, Borough",weekday
"Bridge Avenue, Hammersmith",weekend
"British Museum, Bloomsbury",weekday
"Broadcasting House, Marylebone",weekday
"Broadley Terrace, Marylebone",weekday
"Broadwick Street, Soho",weekday
